B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
95.0,81.0,8.0,0.0,6.0,0.0,"Las Posas CCD, Ventura County, California",111,91560,06
7304.0,6271.0,475.0,217.0,134.0,207.0,"Camarillo CCD, Ventura County, California",111,90350,06
16614.0,14069.0,1781.0,308.0,155.0,301.0,"Oxnard CCD, Ventura County, California",111,92310,06
590.0,365.0,210.0,15.0,0.0,0.0,"Santa Paula CCD, Ventura County, California",111,92930,06
15673.0,12904.0,683.0,549.0,1001.0,536.0,"Thousand Oaks CCD, Ventura County, California",111,93350,06
12621.0,11392.0,629.0,482.0,82.0,36.0,"Simi Valley CCD, Ventura County, California",111,93020,06
117.0,117.0,0.0,0.0,0.0,0.0,"Angels City CCD, Calaveras County, California",009,90060,06
346.0,306.0,26.0,14.0,0.0,0.0,"San Andreas CCD, Calaveras County, California",009,92740,06
4.0,0.0,0.0,4.0,0.0,0.0,"Meridian-Robbins CCD, Sutter County, California",101,91970,06
2.0,1.0,0.0,1.0,0.0,0.0,"Sutter CCD, Sutter County, California",101,93290,06
128.0,116.0,0.0,12.0,0.0,0.0,"South Sutter CCD, Sutter County, California",101,93180,06
871.0,643.0,44.0,7.0,0.0,177.0,"Live Oak CCD, Sutter County, California",101,91650,06
13227.0,11622.0,1036.0,149.0,51.0,369.0,"Yuba City CCD, Sutter County, California",101,93820,06
130577.0,117246.0,5653.0,5157.0,860.0,1661.0,"South San Francisco CCD, San Mateo County, California",081,93170,06
77164.0,63156.0,5871.0,3940.0,1940.0,2257.0,"San Mateo CCD, San Mateo County, California",081,92870,06
39.0,39.0,0.0,0.0,0.0,0.0,"Groveland CCD, Tuolumne County, California",109,91190,06
139.0,76.0,59.0,0.0,0.0,4.0,"Twain Harte-Tuolumne City CCD, Tuolumne County, California",109,93470,06
852.0,834.0,0.0,18.0,0.0,0.0,"Sonoma CCD, Sonoma County, California",097,93070,06
1189.0,1081.0,49.0,25.0,0.0,34.0,"Healdsburg CCD, Sonoma County, California",097,91270,06
316.0,285.0,0.0,31.0,0.0,0.0,"Cloverdale-Geyserville CCD, Sonoma County, California",097,90510,06
5543.0,4739.0,410.0,240.0,78.0,76.0,"Petaluma CCD, Sonoma County, California",097,92460,06
10678.0,9001.0,1035.0,471.0,79.0,92.0,"Santa Rosa CCD, Sonoma County, California",097,92940,06
513.0,452.0,0.0,21.0,27.0,13.0,"Sebastopol CCD, Sonoma County, California",097,92980,06
172.0,105.0,37.0,10.0,0.0,20.0,"Corning CCD, Tehama County, California",103,90580,06
37.0,23.0,14.0,0.0,0.0,0.0,"East Tehama CCD, Tehama County, California",103,90840,06
641.0,591.0,0.0,23.0,0.0,27.0,"Red Bluff CCD, Tehama County, California",103,92560,06
40.0,19.0,3.0,0.0,18.0,0.0,"West Tehama CCD, Tehama County, California",103,93690,06
60.0,60.0,0.0,0.0,0.0,0.0,"Calipatria-Westmorland CCD, Imperial County, California",025,90330,06
82.0,33.0,0.0,49.0,0.0,0.0,"West Imperial CCD, Imperial County, California",025,93630,06
1329.0,1160.0,129.0,6.0,3.0,31.0,"El Centro CCD, Imperial County, California",025,90860,06
326.0,323.0,3.0,0.0,0.0,0.0,"Brawley CCD, Imperial County, California",025,90260,06
279.0,252.0,27.0,0.0,0.0,0.0,"Imperial CCD, Imperial County, California",025,91380,06
123.0,48.0,67.0,0.0,0.0,8.0,"Holtville CCD, Imperial County, California",025,91310,06
34.0,34.0,0.0,0.0,0.0,0.0,"Winterhaven-Bard CCD, Imperial County, California",025,93760,06
251.0,251.0,0.0,0.0,0.0,0.0,"Calexico CCD, Imperial County, California",025,90320,06
15.0,7.0,0.0,0.0,0.0,8.0,"East Imperial CCD, Imperial County, California",025,90790,06
252.0,252.0,0.0,0.0,0.0,0.0,"San Juan Bautista CCD, San Benito County, California",069,92840,06
5.0,5.0,0.0,0.0,0.0,0.0,"San Benito-Bitterwater CCD, San Benito County, California",069,92760,06
1392.0,1345.0,11.0,4.0,11.0,21.0,"Hollister CCD, San Benito County, California",069,91300,06
24412.0,22159.0,1213.0,646.0,144.0,250.0,"Alameda CCD, Alameda County, California",001,90020,06
101791.0,92508.0,5762.0,2103.0,482.0,936.0,"Hayward CCD, Alameda County, California",001,91260,06
57078.0,47430.0,4796.0,2380.0,767.0,1705.0,"Livermore-Pleasanton CCD, Alameda County, California",001,91660,06
28794.0,16848.0,4029.0,3890.0,1442.0,2585.0,"Berkeley CCD, Alameda County, California",001,90200,06
183525.0,161182.0,10015.0,4791.0,2503.0,5034.0,"Fremont CCD, Alameda County, California",001,91070,06
71242.0,62373.0,4274.0,2648.0,896.0,1051.0,"Oakland CCD, Alameda County, California",001,92230,06
12345.0,9899.0,1179.0,542.0,316.0,409.0,"Folsom CCD, Sacramento County, California",067,91010,06
317.0,317.0,0.0,0.0,0.0,0.0,"Sloughhouse CCD, Sacramento County, California",067,93030,06
163931.0,137981.0,16339.0,6045.0,1703.0,1863.0,"Sacramento CCD, Sacramento County, California",067,92690,06
1785.0,1562.0,109.0,100.0,0.0,14.0,"Galt CCD, Sacramento County, California",067,91090,06
34265.0,29172.0,3665.0,627.0,443.0,358.0,"Elk Grove CCD, Sacramento County, California",067,90870,06
920.0,761.0,118.0,38.0,0.0,3.0,"South Lake Tahoe CCD, El Dorado County, California",017,93160,06
6186.0,5275.0,263.0,452.0,35.0,161.0,"South El Dorado CCD, El Dorado County, California",017,93150,06
345.0,188.0,0.0,157.0,0.0,0.0,"Placerville CCD, El Dorado County, California",017,92490,06
343.0,265.0,58.0,20.0,0.0,0.0,"North El Dorado CCD, El Dorado County, California",017,92190,06
245.0,164.0,79.0,0.0,0.0,2.0,"Calistoga CCD, Napa County, California",055,90340,06
10195.0,9017.0,322.0,364.0,297.0,195.0,"Napa CCD, Napa County, California",055,92070,06
120.0,98.0,6.0,13.0,3.0,0.0,"St. Helena CCD, Napa County, California",055,92710,06
500.0,383.0,20.0,35.0,19.0,43.0,"Angwin CCD, Napa County, California",055,90070,06
404.0,393.0,0.0,11.0,0.0,0.0,"Pajaro CCD, Monterey County, California",053,92320,06
582.0,438.0,12.0,126.0,6.0,0.0,"Gonzales CCD, Monterey County, California",053,91130,06
218.0,200.0,10.0,0.0,0.0,8.0,"King City CCD, Monterey County, California",053,91470,06
759.0,721.0,38.0,0.0,0.0,0.0,"Castroville CCD, Monterey County, California",053,90400,06
9528.0,8627.0,490.0,186.0,58.0,167.0,"Salinas CCD, Monterey County, California",053,92730,06
104.0,80.0,16.0,8.0,0.0,0.0,"Greenfield CCD, Monterey County, California",053,91150,06
196.0,165.0,31.0,0.0,0.0,0.0,"Soledad CCD, Monterey County, California",053,93060,06
113.0,113.0,0.0,0.0,0.0,0.0,"Carmel Valley CCD, Monterey County, California",053,90370,06
11288.0,9256.0,926.0,349.0,263.0,494.0,"Seaside-Monterey CCD, Monterey County, California",053,92970,06
60.0,54.0,3.0,3.0,0.0,0.0,"San Ardo CCD, Monterey County, California",053,92750,06
293399.0,261459.0,14059.0,8194.0,4215.0,5472.0,"San Francisco CCD, San Francisco County, California",075,92790,06
1701.0,1309.0,313.0,49.0,7.0,23.0,"Fallbrook CCD, San Diego County, California",073,90960,06
35.0,26.0,9.0,0.0,0.0,0.0,"Laguna-Pine Valley CCD, San Diego County, California",073,91510,06
0.0,0.0,0.0,0.0,0.0,0.0,"West Sierra CCD, Sierra County, California",091,93680,06
0.0,0.0,0.0,0.0,0.0,0.0,"East Sierra CCD, Sierra County, California",091,90830,06
199.0,144.0,55.0,0.0,0.0,0.0,"Pauma Valley CCD, San Diego County, California",073,92430,06
1904.0,1545.0,260.0,13.0,74.0,12.0,"Jamul CCD, San Diego County, California",073,91440,06
100.0,98.0,2.0,0.0,0.0,0.0,"Mountain Empire CCD, San Diego County, California",073,92030,06
46713.0,38174.0,5121.0,1164.0,976.0,1278.0,"Oceanside-Escondido CCD, San Diego County, California",073,92240,06
785.0,751.0,17.0,0.0,0.0,17.0,"Ramona CCD, San Diego County, California",073,92550,06
1172.0,1121.0,31.0,2.0,13.0,5.0,"Valley Center CCD, San Diego County, California",073,93540,06
125.0,113.0,4.0,8.0,0.0,0.0,"Palomar-Julian CCD, San Diego County, California",073,92350,06
308.0,245.0,63.0,0.0,0.0,0.0,"Alpine CCD, San Diego County, California",073,90030,06
326577.0,275443.0,32714.0,4883.0,5054.0,8483.0,"San Diego CCD, San Diego County, California",073,92780,06
109.0,97.0,12.0,0.0,0.0,0.0,"Springville-Johnsondale CCD, Tulare County, California",107,93220,06
0.0,0.0,0.0,0.0,0.0,0.0,"Terra Bella CCD, Tulare County, California",107,93330,06
943.0,864.0,8.0,3.0,0.0,68.0,"Earlimart CCD, Tulare County, California",107,90760,06
163.0,149.0,14.0,0.0,0.0,0.0,"Exeter CCD, Tulare County, California",107,90940,06
3304.0,3016.0,157.0,39.0,64.0,28.0,"Porterville CCD, Tulare County, California",107,92520,06
59.0,55.0,0.0,4.0,0.0,0.0,"Woodlake-Three Rivers CCD, Tulare County, California",107,93780,06
28.0,28.0,0.0,0.0,0.0,0.0,"Strathmore CCD, Tulare County, California",107,93260,06
7952.0,6962.0,402.0,238.0,350.0,0.0,"Visalia CCD, Tulare County, California",107,93560,06
1387.0,1266.0,96.0,21.0,0.0,4.0,"Tulare CCD, Tulare County, California",107,93430,06
100.0,26.0,0.0,74.0,0.0,0.0,"Ivanhoe CCD, Tulare County, California",107,91420,06
249.0,225.0,24.0,0.0,0.0,0.0,"Lindsay CCD, Tulare County, California",107,91640,06
979.0,979.0,0.0,0.0,0.0,0.0,"Orosi-Cutler CCD, Tulare County, California",107,92290,06
