B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
2480.0,2315.0,105.0,17.0,43.0,0.0,"Graham district, Mason County, West Virginia",053,91260,54
2839.0,2350.0,51.0,248.0,190.0,0.0,"Robinson district, Mason County, West Virginia",053,92652,54
1164.0,1120.0,44.0,0.0,0.0,0.0,"Union district, Mason County, West Virginia",053,93264,54
35518.0,29559.0,3161.0,868.0,1789.0,141.0,"Eastern district, Monongalia County, West Virginia",061,90983,54
28801.0,26597.0,1233.0,563.0,366.0,42.0,"Western district, Monongalia County, West Virginia",061,93612,54
26461.0,16882.0,3853.0,2216.0,3422.0,88.0,"Central district, Monongalia County, West Virginia",061,90456,54
4717.0,4571.0,86.0,34.0,26.0,0.0,"Central district, Monroe County, West Virginia",063,90457,54
3574.0,3194.0,117.0,141.0,95.0,27.0,"Eastern district, Monroe County, West Virginia",063,90984,54
4627.0,3948.0,221.0,89.0,337.0,32.0,"Western district, Monroe County, West Virginia",063,93613,54
1455.0,1180.0,226.0,0.0,49.0,0.0,"District C, Pleasants County, West Virginia",073,90896,54
1554.0,1249.0,79.0,155.0,71.0,0.0,"District B, Pleasants County, West Virginia",073,90894,54
2396.0,2051.0,0.0,340.0,5.0,0.0,"District D, Pleasants County, West Virginia",073,90898,54
1915.0,1754.0,53.0,32.0,76.0,0.0,"District A, Pleasants County, West Virginia",073,90892,54
5064.0,4466.0,488.0,64.0,46.0,0.0,"District 2, Wetzel County, West Virginia",103,90830,54
4974.0,4462.0,307.0,100.0,101.0,4.0,"District 3, Wetzel County, West Virginia",103,90867,54
5119.0,4900.0,75.0,61.0,83.0,0.0,"District 1, Wetzel County, West Virginia",103,90794,54
14733.0,12453.0,1258.0,505.0,508.0,9.0,"District 1, Cabell County, West Virginia",011,90764,54
11231.0,8446.0,1676.0,549.0,560.0,0.0,"District 2, Cabell County, West Virginia",011,90798,54
19971.0,18193.0,1355.0,359.0,64.0,0.0,"District 5, Cabell County, West Virginia",011,90882,54
22618.0,19558.0,1934.0,824.0,302.0,0.0,"District 4, Cabell County, West Virginia",011,90870,54
17164.0,13296.0,1785.0,1357.0,726.0,0.0,"District 3, Cabell County, West Virginia",011,90834,54
8449.0,7499.0,380.0,270.0,269.0,31.0,"Charles Town district, Jefferson County, West Virginia",037,90504,54
10748.0,9652.0,476.0,87.0,505.0,28.0,"Harpers Ferry district, Jefferson County, West Virginia",037,91548,54
9366.0,8515.0,474.0,109.0,260.0,8.0,"Middleway district, Jefferson County, West Virginia",037,92160,54
9288.0,7536.0,683.0,318.0,706.0,45.0,"Shepherdstown district, Jefferson County, West Virginia",037,92760,54
8426.0,7186.0,459.0,110.0,637.0,34.0,"Kabletown district, Jefferson County, West Virginia",037,91740,54
40943.0,37758.0,2357.0,503.0,319.0,6.0,"District 4, Kanawha County, West Virginia",039,90876,54
44689.0,38575.0,3955.0,1094.0,1013.0,52.0,"District 2, Kanawha County, West Virginia",039,90804,54
34335.0,29142.0,3363.0,1000.0,758.0,72.0,"District 1, Kanawha County, West Virginia",039,90768,54
43571.0,39506.0,2901.0,884.0,246.0,34.0,"District 3, Kanawha County, West Virginia",039,90840,54
8894.0,7903.0,856.0,127.0,8.0,0.0,"Central district, Logan County, West Virginia",045,90453,54
12620.0,11296.0,1057.0,236.0,31.0,0.0,"Eastern district, Logan County, West Virginia",045,90979,54
11147.0,10113.0,674.0,310.0,50.0,0.0,"Western district, Logan County, West Virginia",045,93608,54
2205.0,1932.0,220.0,49.0,4.0,0.0,"Western district, Pendleton County, West Virginia",071,93615,54
2266.0,2123.0,76.0,33.0,34.0,0.0,"Central district, Pendleton County, West Virginia",071,90462,54
2213.0,2015.0,127.0,15.0,56.0,0.0,"Eastern district, Pendleton County, West Virginia",071,90987,54
6623.0,6164.0,203.0,237.0,19.0,0.0,"First district, Preston County, West Virginia",077,91100,54
5430.0,5209.0,148.0,39.0,26.0,8.0,"Fifth district, Preston County, West Virginia",077,91096,54
6768.0,5881.0,254.0,420.0,208.0,5.0,"Second district, Preston County, West Virginia",077,92742,54
6217.0,5459.0,674.0,48.0,36.0,0.0,"Fourth district, Preston County, West Virginia",077,91134,54
5698.0,5016.0,525.0,155.0,2.0,0.0,"Third district, Preston County, West Virginia",077,93102,54
7290.0,6572.0,372.0,144.0,173.0,29.0,"District 3, Lincoln County, West Virginia",043,90842,54
4690.0,4262.0,213.0,190.0,25.0,0.0,"District I, Roane County, West Virginia",087,90906,54
6469.0,6045.0,69.0,292.0,63.0,0.0,"District 1, Lincoln County, West Virginia",043,90770,54
6811.0,6610.0,92.0,53.0,56.0,0.0,"District 2, Lincoln County, West Virginia",043,90806,54
4677.0,4153.0,242.0,188.0,86.0,8.0,"District II, Roane County, West Virginia",087,90918,54
4430.0,4030.0,78.0,279.0,32.0,11.0,"District III, Roane County, West Virginia",087,90930,54
3481.0,2989.0,315.0,123.0,54.0,0.0,"Beech Ben Mate district, Mingo County, West Virginia",059,90141,54
3805.0,3361.0,349.0,68.0,27.0,0.0,"Kermit Harvey district, Mingo County, West Virginia",059,91770,54
3904.0,3537.0,254.0,0.0,113.0,0.0,"Tug Hardee district, Mingo County, West Virginia",059,93162,54
