B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stevenson CCD, Skamania County, Washington",059,93312,53
9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rosalia CCD, Whitman County, Washington",075,92848,53
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Uniontown CCD, Whitman County, Washington",075,93536,53
30.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,3.0,0.0,"Colfax-Palouse CCD, Whitman County, Washington",075,90656,53
467.0,138.0,67.0,40.0,36.0,4.0,1.0,21.0,11.0,25.0,12.0,63.0,0.0,0.0,8.0,0.0,41.0,"Pullman CCD, Whitman County, Washington",075,92656,53
12.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rock Lake CCD, Whitman County, Washington",075,92832,53
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,"Tekoa CCD, Whitman County, Washington",075,93424,53
14002.0,934.0,626.0,992.0,999.0,990.0,1523.0,876.0,1102.0,859.0,1081.0,1688.0,1379.0,483.0,176.0,190.0,104.0,"Yakima CCD, Yakima County, Washington",077,93904,53
624.0,39.0,32.0,33.0,22.0,92.0,32.0,72.0,35.0,36.0,86.0,72.0,18.0,42.0,6.0,0.0,7.0,"Mabton CCD, Yakima County, Washington",077,91808,53
9854.0,454.0,566.0,664.0,794.0,617.0,847.0,718.0,550.0,550.0,924.0,1088.0,1055.0,579.0,242.0,131.0,75.0,"Sunnyside CCD, Yakima County, Washington",077,93344,53
773.0,21.0,48.0,0.0,34.0,60.0,101.0,31.0,57.0,116.0,103.0,113.0,67.0,9.0,5.0,0.0,8.0,"Northeast Yakima CCD, Yakima County, Washington",077,92192,53
114.0,8.0,4.0,6.0,0.0,19.0,0.0,11.0,10.0,6.0,6.0,13.0,26.0,5.0,0.0,0.0,0.0,"South Yakima CCD, Yakima County, Washington",077,93184,53
4147.0,239.0,312.0,206.0,276.0,281.0,382.0,254.0,316.0,279.0,425.0,471.0,313.0,250.0,81.0,35.0,27.0,"Toppenish-Wapato CCD, Yakima County, Washington",077,93472,53
254.0,27.0,10.0,0.0,18.0,25.0,0.0,10.0,0.0,3.0,29.0,56.0,71.0,5.0,0.0,0.0,0.0,"Northwest Yakima CCD, Yakima County, Washington",077,92240,53
47.0,17.0,0.0,0.0,17.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Clallam Bay-Neah Bay CCD, Clallam County, Washington",009,90576,53
407.0,13.0,0.0,48.0,27.0,22.0,26.0,24.0,62.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,178.0,"Sequim CCD, Clallam County, Washington",009,92960,53
438.0,15.0,0.0,5.0,4.0,0.0,62.0,61.0,5.0,46.0,53.0,58.0,63.0,32.0,34.0,0.0,0.0,"White Salmon CCD, Klickitat County, Washington",039,93744,53
120.0,0.0,15.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,"Goldendale CCD, Klickitat County, Washington",039,91264,53
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,"Ethel CCD, Lewis County, Washington",041,91088,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mineral CCD, Lewis County, Washington",041,91984,53
53.0,0.0,47.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Logan Hill CCD, Lewis County, Washington",041,91648,53
181.0,20.0,11.0,0.0,19.0,18.0,10.0,0.0,17.0,0.0,0.0,52.0,34.0,0.0,0.0,0.0,0.0,"Mossyrock CCD, Lewis County, Washington",041,92048,53
49.0,10.0,0.0,0.0,0.0,21.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Morton CCD, Lewis County, Washington",041,92016,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bunker CCD, Lewis County, Washington",041,90352,53
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,"Big Bottom CCD, Lewis County, Washington",041,90208,53
1218.0,65.0,6.0,185.0,116.0,79.0,87.0,67.0,99.0,49.0,181.0,166.0,80.0,5.0,6.0,14.0,13.0,"Centralia-Chehalis CCD, Lewis County, Washington",041,90512,53
948.0,6.0,44.0,46.0,130.0,35.0,96.0,83.0,88.0,71.0,156.0,121.0,56.0,0.0,12.0,4.0,0.0,"Bridgeport CCD, Douglas County, Washington",017,90320,53
2055.0,48.0,55.0,133.0,70.0,256.0,163.0,121.0,80.0,106.0,206.0,274.0,379.0,87.0,14.0,47.0,16.0,"East Wenatchee CCD, Douglas County, Washington",017,90944,53
39.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,13.0,"Waterville CCD, Douglas County, Washington",017,93696,53
40.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Humptulips CCD, Grays Harbor County, Washington",027,91360,53
18.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,"Quinault Reservation CCD, Grays Harbor County, Washington",027,92704,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Malone-Porter CCD, Grays Harbor County, Washington",027,91856,53
22.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,"Oakville CCD, Grays Harbor County, Washington",027,92288,53
891.0,99.0,38.0,64.0,93.0,79.0,82.0,71.0,25.0,73.0,52.0,41.0,46.0,96.0,18.0,5.0,9.0,"Aberdeen-Hoquiam CCD, Grays Harbor County, Washington",027,90016,53
173.0,0.0,0.0,22.0,0.0,0.0,0.0,30.0,68.0,44.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,"Elma CCD, Grays Harbor County, Washington",027,91024,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North River CCD, Grays Harbor County, Washington",027,92208,53
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,"Wishkah CCD, Grays Harbor County, Washington",027,93840,53
22.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,3.0,0.0,0.0,0.0,"McCleary CCD, Grays Harbor County, Washington",027,91824,53
1130.0,60.0,11.0,0.0,64.0,65.0,95.0,103.0,80.0,64.0,251.0,140.0,113.0,36.0,11.0,9.0,28.0,"Fort Lewis-DuPont CCD, Pierce County, Washington",053,91184,53
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,21.0,34.0,0.0,"Mount Rainier CCD, Pierce County, Washington",053,92064,53
384.0,44.0,0.0,37.0,39.0,0.0,15.0,44.0,32.0,8.0,0.0,38.0,70.0,3.0,26.0,28.0,0.0,"Buckley CCD, Pierce County, Washington",053,90336,53
3309.0,114.0,126.0,102.0,123.0,157.0,120.0,195.0,208.0,140.0,304.0,313.0,444.0,392.0,287.0,175.0,109.0,"Puyallup CCD, Pierce County, Washington",053,92672,53
192.0,14.0,34.0,0.0,40.0,41.0,0.0,0.0,0.0,10.0,32.0,5.0,0.0,3.0,13.0,0.0,0.0,"Roy CCD, Pierce County, Washington",053,92880,53
117.0,0.0,19.0,16.0,0.0,0.0,8.0,50.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,10.0,0.0,"Eatonville CCD, Pierce County, Washington",053,90976,53
472.0,42.0,18.0,11.0,9.0,13.0,64.0,33.0,15.0,32.0,35.0,0.0,33.0,59.0,26.0,8.0,74.0,"Gig Harbor Peninsula CCD, Pierce County, Washington",053,91232,53
1761.0,44.0,28.0,39.0,36.0,25.0,130.0,51.0,40.0,40.0,253.0,327.0,358.0,207.0,70.0,77.0,36.0,"Graham-Thrift CCD, Pierce County, Washington",053,91280,53
14007.0,1002.0,764.0,781.0,792.0,846.0,906.0,709.0,663.0,931.0,1564.0,1586.0,1769.0,590.0,499.0,310.0,295.0,"Tacoma CCD, Pierce County, Washington",053,93376,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skamokawa CCD, Wahkiakum County, Washington",069,92992,53
