B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Oconto town, Oconto County, Wisconsin",083,59375,55
9.0,9.0,0.0,"Abrams town, Oconto County, Wisconsin",083,00175,55
10.0,10.0,0.0,"Stiles town, Oconto County, Wisconsin",083,77300,55
0.0,0.0,0.0,"Morgan town, Oconto County, Wisconsin",083,54200,55
0.0,0.0,0.0,"Harding town, Lincoln County, Wisconsin",069,32650,55
9.0,9.0,0.0,"Russell town, Lincoln County, Wisconsin",069,70325,55
0.0,0.0,0.0,"Skanawan town, Lincoln County, Wisconsin",069,74250,55
0.0,0.0,0.0,"Corning town, Lincoln County, Wisconsin",069,17125,55
2.0,2.0,0.0,"Harrison town, Lincoln County, Wisconsin",069,32875,55
4.0,2.0,2.0,"King town, Lincoln County, Wisconsin",069,39675,55
0.0,0.0,0.0,"Kimball town, Iron County, Wisconsin",051,39625,55
0.0,0.0,0.0,"Pence town, Iron County, Wisconsin",051,61825,55
3.0,2.0,1.0,"Mercer town, Iron County, Wisconsin",051,51200,55
0.0,0.0,0.0,"Montreal city, Iron County, Wisconsin",051,54075,55
1.0,1.0,0.0,"Carey town, Iron County, Wisconsin",051,12525,55
0.0,0.0,0.0,"Anderson town, Iron County, Wisconsin",051,01925,55
0.0,0.0,0.0,"Gurney town, Iron County, Wisconsin",051,31875,55
0.0,0.0,0.0,"Sherman town, Iron County, Wisconsin",051,73400,55
0.0,0.0,0.0,"County subdivisions not defined, Iron County, Wisconsin",051,00000,55
1.0,1.0,0.0,"Saxon town, Iron County, Wisconsin",051,71875,55
0.0,0.0,0.0,"Knight town, Iron County, Wisconsin",051,40075,55
0.0,0.0,0.0,"Hurley city, Iron County, Wisconsin",051,36525,55
7.0,7.0,0.0,"Oma town, Iron County, Wisconsin",051,59850,55
7.0,7.0,0.0,"Bovina town, Outagamie County, Wisconsin",087,08975,55
3.0,0.0,3.0,"Cicero town, Outagamie County, Wisconsin",087,14750,55
56.0,16.0,40.0,"Kimberly village, Outagamie County, Wisconsin",087,39650,55
113.0,45.0,68.0,"Little Chute village, Outagamie County, Wisconsin",087,44950,55
111.0,0.0,111.0,"New London city, Outagamie County, Wisconsin",087,56925,55
0.0,0.0,0.0,"Osborn town, Outagamie County, Wisconsin",087,60400,55
34.0,9.0,25.0,"Bear Creek village, Outagamie County, Wisconsin",087,05575,55
12.0,12.0,0.0,"Seymour town, Outagamie County, Wisconsin",087,72750,55
12.0,0.0,12.0,"Vandenbroek town, Outagamie County, Wisconsin",087,82400,55
12.0,12.0,0.0,"Black Creek village, Outagamie County, Wisconsin",087,07725,55
44.0,44.0,0.0,"Greenville town, Outagamie County, Wisconsin",087,31550,55
7.0,0.0,7.0,"Kaukauna town, Outagamie County, Wisconsin",087,38825,55
6.0,0.0,6.0,"Maple Creek town, Outagamie County, Wisconsin",087,48775,55
373.0,47.0,326.0,"Grand Chute town, Outagamie County, Wisconsin",087,30075,55
2.0,2.0,0.0,"Hortonia town, Outagamie County, Wisconsin",087,35825,55
7.0,0.0,7.0,"Nichols village, Outagamie County, Wisconsin",087,57375,55
32.0,32.0,0.0,"Oneida town, Outagamie County, Wisconsin",087,60000,55
927.0,364.0,563.0,"Appleton city, Outagamie County, Wisconsin",087,02375,55
104.0,80.0,24.0,"Kaukauna city, Outagamie County, Wisconsin",087,38800,55
30.0,15.0,15.0,"Buchanan town, Outagamie County, Wisconsin",087,10750,55
2.0,2.0,0.0,"Liberty town, Outagamie County, Wisconsin",087,43875,55
0.0,0.0,0.0,"Center town, Outagamie County, Wisconsin",087,13600,55
