B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
19515.0,1333.0,965.0,1312.0,1558.0,1361.0,1736.0,1191.0,1327.0,1110.0,1858.0,1975.0,1955.0,894.0,293.0,388.0,259.0,"Tulsa CCD, Tulsa County, Oklahoma",143,93380,40
798.0,48.0,49.0,45.0,13.0,80.0,35.0,62.0,49.0,43.0,63.0,117.0,47.0,56.0,41.0,39.0,11.0,"Bartlesville CCD, Washington County, Oklahoma",147,90208,40
9.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Copan CCD, Washington County, Oklahoma",147,90663,40
15.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ochelata-Ramona CCD, Washington County, Oklahoma",147,92366,40
15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,"West Canadian CCD, Canadian County, Oklahoma",017,93679,40
1529.0,80.0,16.0,22.0,52.0,64.0,150.0,83.0,65.0,33.0,185.0,221.0,146.0,198.0,89.0,87.0,38.0,"East Canadian CCD, Canadian County, Oklahoma",017,90832,40
837.0,18.0,0.0,111.0,103.0,48.0,57.0,76.0,56.0,54.0,47.0,61.0,90.0,62.0,18.0,25.0,11.0,"El Reno CCD, Canadian County, Oklahoma",017,91040,40
5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"Walnut CCD, Canadian County, Oklahoma",017,93523,40
20.0,0.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,"Gould CCD, Harmon County, Oklahoma",057,91183,40
275.0,82.0,19.0,40.0,35.0,13.0,3.0,6.0,0.0,0.0,23.0,43.0,7.0,4.0,0.0,0.0,0.0,"Hollis CCD, Harmon County, Oklahoma",057,91391,40
19.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,"West Haskell CCD, Haskell County, Oklahoma",061,93718,40
