B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
13.0,13.0,0.0,0.0,0.0,0.0,"Washington township, Butler County, Pennsylvania",019,81192,42
3.0,0.0,0.0,0.0,0.0,3.0,"Mercer township, Butler County, Pennsylvania",019,48688,42
0.0,0.0,0.0,0.0,0.0,0.0,"Saxonburg borough, Butler County, Pennsylvania",019,68056,42
87.0,75.0,0.0,7.0,5.0,0.0,"Seven Fields borough, Butler County, Pennsylvania",019,69309,42
50.0,45.0,0.0,3.0,2.0,0.0,"Prospect borough, Butler County, Pennsylvania",019,62752,42
0.0,0.0,0.0,0.0,0.0,0.0,"Forward township, Butler County, Pennsylvania",019,26904,42
0.0,0.0,0.0,0.0,0.0,0.0,"Chicora borough, Butler County, Pennsylvania",019,13440,42
4.0,2.0,2.0,0.0,0.0,0.0,"Venango township, Butler County, Pennsylvania",019,79904,42
0.0,0.0,0.0,0.0,0.0,0.0,"West Liberty borough, Butler County, Pennsylvania",019,83376,42
0.0,0.0,0.0,0.0,0.0,0.0,"Jay township, Elk County, Pennsylvania",047,37760,42
67.0,67.0,0.0,0.0,0.0,0.0,"St. Marys city, Elk County, Pennsylvania",047,67344,42
0.0,0.0,0.0,0.0,0.0,0.0,"Spring Creek township, Elk County, Pennsylvania",047,72928,42
0.0,0.0,0.0,0.0,0.0,0.0,"Jones township, Elk County, Pennsylvania",047,38368,42
0.0,0.0,0.0,0.0,0.0,0.0,"Millstone township, Elk County, Pennsylvania",047,49888,42
0.0,0.0,0.0,0.0,0.0,0.0,"Benezette township, Elk County, Pennsylvania",047,05576,42
24.0,21.0,0.0,3.0,0.0,0.0,"Ridgway borough, Elk County, Pennsylvania",047,64784,42
30.0,30.0,0.0,0.0,0.0,0.0,"Ridgway township, Elk County, Pennsylvania",047,64792,42
0.0,0.0,0.0,0.0,0.0,0.0,"Fox township, Elk County, Pennsylvania",047,27088,42
72.0,72.0,0.0,0.0,0.0,0.0,"Johnsonburg borough, Elk County, Pennsylvania",047,38248,42
0.0,0.0,0.0,0.0,0.0,0.0,"Horton township, Elk County, Pennsylvania",047,35816,42
0.0,0.0,0.0,0.0,0.0,0.0,"Highland township, Elk County, Pennsylvania",047,34464,42
0.0,0.0,0.0,0.0,0.0,0.0,"Summerville borough, Jefferson County, Pennsylvania",065,75168,42
